;name;categories;address;cc;city;country;crossStreet;distance;formattedAddress;labeledLatLngs;lat;lng;neighborhood;postalCode;state;id
2;Cinnamon Culture;Indian Restaurant;46 Plaistow Lane;GB;Bromley;United Kingdom;;355;['46 Plaistow Lane', 'Bromley', 'Greater London', 'BR1 3PA', 'United Kingdom'];[{'label': 'display', 'lat': 51.414196, 'lng': 0.020883}];51.414.196;0.020883;;BR1 3PA;Greater London;4d6ffb26b73bb1f79bacb272
4;Havet;Turkish Restaurant;195-199 High St;GB;Bromley;United Kingdom;;797;['195-199 High St', 'Bromley', 'Greater London', 'BR1 1NN', 'United Kingdom'];[{'label': 'display', 'lat': 51.40618386892237, 'lng': 0.01352165486780187}];5.140.618.386.892.230;0.01352165486780187;;BR1 1NN;Greater London;50cf7f97e4b044ef7b70cefb
6;wagamama;Asian Restaurant;;GB;Bromley;United Kingdom;;831;['Bromley', 'Greater London', 'BR1 1DN', 'United Kingdom'];[{'label': 'display', 'lat': 51.40402480473292, 'lng': 0.017960071563720703}];5.140.402.480.473.290;0.017960071563720703;;BR1 1DN;Greater London;5780ed59498e131cf59f8599
10;Franco Manca;Pizza Place;Widmore Road;GB;Kent;United Kingdom;;691;['Widmore Road', 'Kent', 'United Kingdom'];[{'label': 'display', 'lat': 51.40599247890893, 'lng': 0.016180579695772232}];5.140.599.247.890.890;0.016180579695772232;;;Kent;57a5d75f498e5952a23226ae
12;Nando's;Portuguese Restaurant;9 Widmore Rd;GB;Bromley;United Kingdom;;696;['9 Widmore Rd', 'Bromley', 'Greater London', 'BR1 1RL', 'United Kingdom'];[{'label': 'display', 'lat': 51.4059810423179, 'lng': 0.01608245968574302}];514.059.810.423.179;0.01608245968574302;;BR1 1RL;Greater London;4b02eb36f964a520014b22e3
21;The Fireball;Pizza Place;8 Chatterton Road;GB;Bromley;United Kingdom;;2160;['8 Chatterton Road', 'Bromley', 'Greater London', 'BR2 9QN', 'United Kingdom'];[{'label': 'display', 'lat': 51.393295448807464, 'lng': 0.03440790926126605}];51.393.295.448.807.400;0.03440790926126605;;BR2 9QN;Greater London;5516c1fc498e8ea2ace15b1a
27;PizzaExpress;Pizza Place;15 Widmore Rd;GB;Bromley;United Kingdom;;674;['15 Widmore Rd', 'Bromley', 'Greater London', 'BR1 1RL', 'United Kingdom'];[{'label': 'display', 'lat': 51.40606456547983, 'lng': 0.01645141093046963}];5.140.606.456.547.980;0.01645141093046963;;BR1 1RL;Greater London;4b926f39f964a52040f933e3
29;Tamasha;Indian Restaurant;131 Widmore Rd.;GB;Bromley;United Kingdom;at Homefield Rd.;580;['131 Widmore Rd. (at Homefield Rd.)', 'Bromley', 'Greater London', 'BR1 3AX', 'United Kingdom'];[{'label': 'display', 'lat': 51.40694908851223, 'lng': 0.027044476224484457}];5.140.694.908.851.220;0.027044476224484457;;BR1 3AX;Greater London;4b81547bf964a520c19f30e3
38;Madisons;American Restaurant;32 Homesdale Rd;GB;Bromley Town;United Kingdom;;1655;['32 Homesdale Rd', 'Bromley Town', 'Greater London', 'BR2 9LD', 'United Kingdom'];[{'label': 'display', 'lat': 51.39683, 'lng': 0.028778}];5.139.683;0.028778;;BR2 9LD;Greater London;50536ce4e4b0e932c8071e55
53;Bridges Fish & Chips;Fish & Chips Shop;49 Chislehurst Rd;GB;Chislehurst;United Kingdom;;2194;['49 Chislehurst Rd', 'Chislehurst', 'Greater London', 'BR7 5NP', 'United Kingdom'];[{'label': 'display', 'lat': 51.407875, 'lng': 0.053103}];51.407.875;0.053103;chislehurst;BR7 5NP;Greater London;4e463cfd483b03d090dd6714
