postcode;eastings;northings;latitude;longitude;town;region;uk_region;country;country_string
BR1;540600;170000;5.141.107;0.02192;Bromley;Greater London;London;ENG;England
BR2;540700;167500;5.138.858;0.02237;Bromley;Greater London;London;ENG;England
BR3;537000;169000;5.140.297;-0.0302;Bromley;Greater London;London;ENG;England
BR4;538700;166000;5.137.559;-0.00695;Bromley;Greater London;London;ENG;England
BR5;546400;167800;5.138.983;0.10436;Bromley;Greater London;London;ENG;England
BR6;545700;165100;5.136.575;0.0932;Bromley;Greater London;London;ENG;England
BR7;544100;170000;5.141.019;0.07222;Bromley;Greater London;London;ENG;England
CR0;534000;165500;5.137.223;-0.07463;Croydon;Greater London;London;ENG;England
CR2;533700;163000;5.134.983;-0.07988;Croydon;Greater London;London;ENG;England
CR4;528100;168900;5.140.415;-0.15813;Merton;Greater London;London;ENG;England
CR5;529700;158700;5.131.211;-0.13886;Croydon;Greater London;London;ENG;England
CR7;532000;168000;5.139.517;-0.10242;Croydon;Greater London;London;ENG;England
CR8;531600;161400;5.133.594;-0.11061;Croydon;Greater London;London;ENG;England
CR9;534000;165500;5.137.223;-0.07463;Croydon;Greater London;London;ENG;England
DA14;546900;171700;5.142.475;0.11316;Bexley;Greater London;London;ENG;England
DA15;545900;173400;5.144.029;0.09948;Bexley;Greater London;London;ENG;England
DA16;546500;176100;514.644;0.10923;Bexley;Greater London;London;ENG;England
DA17;549200;178700;5.148.706;0.14917;Crayford;Greater London;London;ENG;England
DA18;548800;179200;5.149.165;0.14363;Crayford;Greater London;London;ENG;England
DA5;549200;173500;5.144.033;0.14698;Bexley;Greater London;London;ENG;England
DA6;548700;175100;5.145.484;0.14046;Bexley;Greater London;London;ENG;England
DA7;549100;176300;5.146.552;0.14672;Crayford;Greater London;London;ENG;England
DA8;551200;177500;5.147.574;0.17745;Crayford;Greater London;London;ENG;England
E1;534700;181700;5.151.766;-0.05841;Poplar;Greater London;London;ENG;England
E10;537800;187400;5.156.814;-0.01153;Walthamstow;Greater London;London;ENG;England
E11;539600;187400;5.156.769;0.01443;Walthamstow;Greater London;London;ENG;England
E12;542400;185500;5.154.992;0.05404;Stratford;Greater London;London;ENG;England
E13;540600;182900;51.527;0.02705;East Ham;Greater London;London;ENG;England
E14;537500;180500;515.062;-0.01855;Poplar;Greater London;London;ENG;England
E15;538900;184200;5.153.911;0.00307;Stratford;Greater London;London;ENG;England
E16;540600;181100;5.151.083;0.02633;East Ham;Greater London;London;ENG;England
E17;537300;189400;5.158.623;-0.01796;Walthamstow;Greater London;London;ENG;England
E18;540400;190100;5.159.176;0.02705;Ilford;Greater London;London;ENG;England
E1W;534800;180600;5.150.775;-0.05739;Poplar;Greater London;London;ENG;England
E2;534500;183000;5.152.939;-0.0608;Poplar;Greater London;London;ENG;England
E20;538350;184500;5.154.593;0.09248;Queen Elizabeth Olympic Park;Greater London;London;ENG;England
E3;537000;182900;5.152.789;-0.02482;Poplar;Greater London;London;ENG;England
E4;538200;193400;5.162.196;-0.00339;Walthamstow;Greater London;London;ENG;England
E5;535000;186300;5.155.893;-0.05233;Hackney;Greater London;London;ENG;England
E6;542600;182800;515.256;0.05583;East Ham;Greater London;London;ENG;England
E7;540600;185100;5.154.678;0.02793;Stratford;Greater London;London;ENG;England
E8;534300;184400;5.154.202;-0.06315;Hackney;Greater London;London;ENG;England
E9;535700;184500;5.154.258;-0.04293;Hackney;Greater London;London;ENG;England
EC1;531700;182200;5.152.286;-0.10144;Islington;Greater London;London;ENG;England
EC1A;531600;181900;5.152.019;-0.103;Islington;Greater London;London;ENG;England
EC1M;531700;182000;5.152.106;-0.10152;Islington;Greater London;London;ENG;England
EC1N;531300;181900;5.152.026;-0.10732;Camden Town;Greater London;London;ENG;England
EC1R;531300;182400;5.152.475;-0.10713;Islington;Greater London;London;ENG;England
EC1V;532000;182500;5.152.549;-0.09701;Islington;Greater London;London;ENG;England
EC1Y;532300;182200;5.152.272;-0.0928;Islington;Greater London;London;ENG;England
EC2;532600;181900;5.151.995;-0.08859;Islington;Greater London;London;ENG;England
EC2A;532800;182200;515.226;-0.0856;Islington;Greater London;London;ENG;England
EC3P;531700;181900;5.152.016;-0.10156;Islington;Greater London;London;ENG;England
EN1;533700;196800;516.536;-0.06707;Enfield;Greater London;London;ENG;England
EN2;532000;197300;516.585;-0.09144;Enfield;Greater London;London;ENG;England
EN3;535700;197400;5.165.852;-0.03794;Enfield;Greater London;London;ENG;England
EN4;527300;196000;516.479;-0.15983;Barnet;Greater London;London;ENG;England
EN5;524900;196100;5.164.934;-0.19447;Barnet;Greater London;London;ENG;England
HA0;517600;184900;5.155.024;-0.3037;Brent;Greater London;London;ENG;England
HA1;515300;188100;5.157.948;-0.33581;Harrow;Greater London;London;ENG;England
HA2;513800;187400;5.157.349;-0.35768;Harrow;Greater London;London;ENG;England
HA3;516400;189600;5.159.274;-0.31945;Harrow;Greater London;London;ENG;England
HA4;510200;186900;5.156.971;-0.40977;Hillingdon;Greater London;London;ENG;England
HA5;511900;189700;5.159.455;-0.38436;Harrow;Greater London;London;ENG;England
HA6;509400;191400;5.161.032;-0.41991;Hillingdon;Greater London;London;ENG;England
HA7;517200;191500;5.160.965;-0.30727;Harrow;Greater London;London;ENG;England
HA8;519600;191700;5.161.094;-0.27255;Barnet;Greater London;London;ENG;England
HA9;518800;185900;5.155.898;-0.28606;Brent;Greater London;London;ENG;England
IG1;543800;186500;5.155.855;0.07463;Ilford;Greater London;London;ENG;England
IG11;545200;184000;5.153.573;0.09378;Barking;Greater London;London;ENG;England
IG2;544200;188200;5.157.373;0.08109;Ilford;Greater London;London;ENG;England
IG3;545600;186900;5.156.168;0.10074;Ilford;Greater London;London;ENG;England
IG4;542400;188500;5.157.688;0.05525;Ilford;Greater London;London;ENG;England
IG5;543100;189700;5.158.749;0.06584;Ilford;Greater London;London;ENG;England
IG6;544700;190300;5.159.247;0.08917;Ilford;Greater London;London;ENG;England
IG8;540800;191800;5.160.694;0.0335;Ilford;Greater London;London;ENG;England
KT1;518500;169000;5.140.713;-0.29606;Kingston Upon Thames;Greater London;London;ENG;England
KT2;519000;170000;5.141.602;-0.28854;Kingston Upon Thames;Greater London;London;ENG;England
KT3;521300;168200;5.139.935;-0.25609;Kingston Upon Thames;Greater London;London;ENG;England
KT4;522300;165800;5.137.757;-0.24255;Sutton;Greater London;London;ENG;England
KT5;519200;167300;5.139.171;-0.28657;Kingston Upon Thames;Greater London;London;ENG;England
KT6;518300;167000;513.892;-0.2996;Kingston Upon Thames;Greater London;London;ENG;England
KT9;518200;164200;5.136.405;-0.30197;Kingston Upon Thames;Greater London;London;ENG;England
N1;532000;183800;5.153.717;-0.09652;Islington;Greater London;London;ENG;England
N10;528600;190000;5.159.368;-0.14325;Tottenham;Greater London;London;ENG;England
N11;528900;192200;5.161.338;-0.13812;Enfield;Greater London;London;ENG;England
N12;526300;192300;5.161.487;-0.17561;Barnet;Greater London;London;ENG;England
N13;531400;192900;516.191;-0.10176;Enfield;Greater London;London;ENG;England
N14;529500;194500;5.163.392;-0.1286;Enfield;Greater London;London;ENG;England
N15;532900;188800;515.819;-0.08166;Tottenham;Greater London;London;ENG;England
N16;533400;186700;515.629;-0.07525;Hackney;Greater London;London;ENG;England
N17;533600;190600;5.159.791;-0.07088;Tottenham;Greater London;London;ENG;England
N18;534000;192300;5.161.309;-0.06446;Enfield;Greater London;London;ENG;England
N19;529800;186800;5.156.464;-0.12712;Islington;Greater London;London;ENG;England
N1C;530091;183594;5.153.626;-0.12572;King's Cross;Greater London;London;ENG;England
N2;526900;189500;5.158.957;-0.16797;Barnet;Greater London;London;ENG;England
N20;526400;193900;5.162.923;-0.17359;Barnet;Greater London;London;ENG;England
N21;531600;194800;5.163.612;-0.09816;Enfield;Greater London;London;ENG;England
N22;530900;190700;5.159.944;-0.1098;Tottenham;Greater London;London;ENG;England
N3;525200;190600;5.159.984;-0.1921;Barnet;Greater London;London;ENG;England
N4;531600;187500;5.157.052;-0.1009;Hackney;Greater London;London;ENG;England
N5;531900;185600;5.155.337;-0.09729;Islington;Greater London;London;ENG;England
N6;528800;187500;5.157.116;-0.14129;Tottenham;Greater London;London;ENG;England
N7;530600;185500;5.155.277;-0.11607;Islington;Greater London;London;ENG;England
N8;530500;188900;5.158.335;-0.11625;Tottenham;Greater London;London;ENG;England
N9;534500;194000;5.162.825;-0.05659;Enfield;Greater London;London;ENG;England
NW1;528800;183200;5.153.252;-0.14286;Camden Town;Greater London;London;ENG;England
NW10;521600;183800;5.153.951;-0.24641;Brent;Greater London;London;ENG;England
NW11;525000;188200;5.157.831;-0.19584;Barnet;Greater London;London;ENG;England
NW2;523500;185900;5.155.797;-0.21829;Brent;Greater London;London;ENG;England
NW3;526800;185300;5.155.184;-0.17093;Camden Town;Greater London;London;ENG;England
NW4;523100;189100;5.158.682;-0.22294;Barnet;Greater London;London;ENG;England
NW5;528800;185300;5.155.139;-0.14209;Camden Town;Greater London;London;ENG;England
NW6;525200;184100;5.154.142;-0.19442;Camden Town;Greater London;London;ENG;England
NW7;522200;192200;5.161.488;-0.23484;Barnet;Greater London;London;ENG;England
NW8;526800;183000;5.153.117;-0.17175;Paddington;Greater London;London;ENG;England
NW9;520900;189000;515.864;-0.25472;Brent;Greater London;London;ENG;England
RM1;551300;189300;5.158.175;0.18395;Romford;Greater London;London;ENG;England
RM10;549700;185100;5.154.443;0.15909;Barking;Greater London;London;ENG;England
RM11;553800;188000;5.156.939;0.21944;Romford;Greater London;London;ENG;England
RM12;553100;186100;5.155.251;0.20852;Romford;Greater London;London;ENG;England
RM13;552300;182900;5.152.397;0.19561;Romford;Greater London;London;ENG;England
RM14;557000;186600;5.155.593;0.26496;Romford;Greater London;London;ENG;England
RM2;552600;189500;515.832;0.20279;Romford;Greater London;London;ENG;England
RM3;554200;191600;5.160.163;0.22679;Romford;Greater London;London;ENG;England
RM5;550000;191200;5.159.917;0.16602;Romford;Greater London;London;ENG;England
RM6;547800;188500;5.157.549;0.13313;Barking;Greater London;London;ENG;England
