postcode;latitude;longitude;town;region;uk_region;country;country_string
BR1;51.41107;0.02192;Bromley;Greater London;London;ENG;England
BR2;51.38858;0.02237;Bromley;Greater London;London;ENG;England
BR3;51.40297;-0.0302;Bromley;Greater London;London;ENG;England
BR4;51.37559;-0.00695;Bromley;Greater London;London;ENG;England
BR5;51.38983;0.10436;Bromley;Greater London;London;ENG;England
BR6;51.36575;0.0932;Bromley;Greater London;London;ENG;England
BR7;51.41019;0.07222;Bromley;Greater London;London;ENG;England
CR0;51.37223;-0.07463;Croydon;Greater London;London;ENG;England
CR2;51.34983;-0.07988;Croydon;Greater London;London;ENG;England
CR4;51.40415;-0.15813;Merton;Greater London;London;ENG;England
CR5;51.31211;-0.13886;Croydon;Greater London;London;ENG;England
CR7;51.39517;-0.10242;Croydon;Greater London;London;ENG;England
CR8;51.33594;-0.11061;Croydon;Greater London;London;ENG;England
CR9;51.37223;-0.07463;Croydon;Greater London;London;ENG;England
DA14;51.42475;0.11316;Bexley;Greater London;London;ENG;England
DA15;51.44029;0.09948;Bexley;Greater London;London;ENG;England
DA17;51.48706;0.14917;Crayford;Greater London;London;ENG;England
DA18;51.49165;0.14363;Crayford;Greater London;London;ENG;England
DA5;51.44033;0.14698;Bexley;Greater London;London;ENG;England
DA6;51.45484;0.14046;Bexley;Greater London;London;ENG;England
DA7;51.46552;0.14672;Crayford;Greater London;London;ENG;England
DA8;51.47574;0.17745;Crayford;Greater London;London;ENG;England
E1;51.51766;-0.05841;Poplar;Greater London;London;ENG;England
E10;51.56814;-0.01153;Walthamstow;Greater London;London;ENG;England
E11;51.56769;0.01443;Walthamstow;Greater London;London;ENG;England
E12;51.54992;0.05404;Stratford;Greater London;London;ENG;England
E15;51.53911;0.00307;Stratford;Greater London;London;ENG;England
E16;51.51083;0.02633;East Ham;Greater London;London;ENG;England
E17;51.58623;-0.01796;Walthamstow;Greater London;London;ENG;England
E18;51.59176;0.02705;Ilford;Greater London;London;ENG;England
E1W;51.50775;-0.05739;Poplar;Greater London;London;ENG;England
E2;51.52939;-0.0608;Poplar;Greater London;London;ENG;England
E20;51.54593;0.09248;Queen Elizabeth Olympic Park;Greater London;London;ENG;England
E3;51.52789;-0.02482;Poplar;Greater London;London;ENG;England
E4;51.62196;-0.00339;Walthamstow;Greater London;London;ENG;England
E5;51.55893;-0.05233;Hackney;Greater London;London;ENG;England
E7;51.54678;0.02793;Stratford;Greater London;London;ENG;England
E8;51.54202;-0.06315;Hackney;Greater London;London;ENG;England
E9;51.54258;-0.04293;Hackney;Greater London;London;ENG;England
EC1;51.52286;-0.10144;Islington;Greater London;London;ENG;England
EC1A;51.52019;-0.103;Islington;Greater London;London;ENG;England
EC1M;51.52106;-0.10152;Islington;Greater London;London;ENG;England
EC1N;51.52026;-0.10732;Camden Town;Greater London;London;ENG;England
EC1R;51.52475;-0.10713;Islington;Greater London;London;ENG;England
EC1V;51.52549;-0.09701;Islington;Greater London;London;ENG;England
EC1Y;51.52272;-0.0928;Islington;Greater London;London;ENG;England
EC2;51.51995;-0.08859;Islington;Greater London;London;ENG;England
EC3P;51.52016;-0.10156;Islington;Greater London;London;ENG;England
EN3;51.65852;-0.03794;Enfield;Greater London;London;ENG;England
EN5;51.64934;-0.19447;Barnet;Greater London;London;ENG;England
HA0;51.55024;-0.3037;Brent;Greater London;London;ENG;England
HA1;51.57948;-0.33581;Harrow;Greater London;London;ENG;England
HA2;51.57349;-0.35768;Harrow;Greater London;London;ENG;England
HA3;51.59274;-0.31945;Harrow;Greater London;London;ENG;England
HA4;51.56971;-0.40977;Hillingdon;Greater London;London;ENG;England
